Name	Expression_Patern	Read_Length	Type
sample_04022019_10_100_PE	10	100	PE
sample_04022019_10_100_SE	10	100	SE
sample_04022019_10_75_PE	10	75	PE
sample_04022019_10_75_SE	10	75	SE
sample_04022019_10_50_PE	10	50	PE
sample_04022019_10_50_SE	10	50	SE
sample_04022019_1_100_PE	1	100	PE
sample_04022019_1_100_SE	1	100	SE
sample_04022019_1_75_PE	1	75	PE
sample_04022019_1_75_SE	1	75	SE
sample_04022019_1_50_PE	1	50	PE
sample_04022019_1_50_SE	1	50	SE
sample_04022019_2_100_PE	2	100	PE
sample_04022019_2_100_SE	2	100	SE
sample_04022019_2_75_PE	2	75	PE
sample_04022019_2_75_SE	2	75	SE
sample_04022019_2_50_PE	2	50	PE
sample_04022019_2_50_SE	2	50	SE
sample_04022019_3_100_PE	3	100	PE
sample_04022019_3_100_SE	3	100	SE
sample_04022019_3_75_PE	3	75	PE
sample_04022019_3_75_SE	3	75	SE
sample_04022019_3_50_PE	3	50	PE
sample_04022019_3_50_SE	3	50	SE
sample_04022019_4_100_PE	4	100	PE
sample_04022019_4_100_SE	4	100	SE
sample_04022019_4_75_PE	4	75	PE
sample_04022019_4_75_SE	4	75	SE
sample_04022019_4_50_PE	4	50	PE
sample_04022019_4_50_SE	4	50	SE
sample_04022019_5_100_PE	5	100	PE
sample_04022019_5_100_SE	5	100	SE
sample_04022019_5_75_PE	5	75	PE
sample_04022019_5_75_SE	5	75	SE
sample_04022019_5_50_PE	5	50	PE
sample_04022019_5_50_SE	5	50	SE
sample_04022019_6_100_PE	6	100	PE
sample_04022019_6_100_SE	6	100	SE
sample_04022019_6_75_PE	6	75	PE
sample_04022019_6_75_SE	6	75	SE
sample_04022019_6_50_PE	6	50	PE
sample_04022019_6_50_SE	6	50	SE
sample_04022019_7_100_PE	7	100	PE
sample_04022019_7_100_SE	7	100	SE
sample_04022019_7_75_PE	7	75	PE
sample_04022019_7_75_SE	7	75	SE
sample_04022019_7_50_PE	7	50	PE
sample_04022019_7_50_SE	7	50	SE
sample_04022019_8_100_PE	8	100	PE
sample_04022019_8_100_SE	8	100	SE
sample_04022019_8_75_PE	8	75	PE
sample_04022019_8_75_SE	8	75	SE
sample_04022019_8_50_PE	8	50	PE
sample_04022019_8_50_SE	8	50	SE
sample_04022019_9_100_PE	9	100	PE
sample_04022019_9_100_SE	9	100	SE
sample_04022019_9_75_PE	9	75	PE
sample_04022019_9_75_SE	9	75	SE
sample_04022019_9_50_PE	9	50	PE
sample_04022019_9_50_SE	9	50	SE
