Simulation	FN	FP	TP	Precision	Recall	F1_score	Jaccard
sample_04022019_10_100_PE	177	23	823	0.972813238770686	0.823	0.891657638136512	0.659621
sample_04022019_10_100_SE	158	31	842	0.964490263459336	0.842	0.899092365189536	0.683146
sample_04022019_10_50_PE	224	200	776	0.795081967213115	0.776	0.785425101214575	0.582193
sample_04022019_10_50_SE	253	202	747	0.787144362486828	0.747	0.766546947152386	0.559988
sample_04022019_10_75_PE	274	51	726	0.934362934362934	0.726	0.817107484524479	0.556388
sample_04022019_10_75_SE	262	47	738	0.940127388535032	0.738	0.826890756302521	0.576853
sample_04022019_1_100_PE	194	39	806	0.953846153846154	0.806	0.873712737127371	0.647212
sample_04022019_1_100_SE	174	33	826	0.961583236321304	0.826	0.888649811726735	0.667215
sample_04022019_1_50_PE	244	188	756	0.800847457627119	0.756	0.777777777777778	0.557075
sample_04022019_1_50_SE	243	211	757	0.78202479338843	0.757	0.769308943089431	0.561911
sample_04022019_1_75_PE	299	48	701	0.935914552736983	0.701	0.801600914808462	0.536298
sample_04022019_1_75_SE	287	58	713	0.924773022049287	0.713	0.805194805194805	0.54514
sample_04022019_2_100_PE	193	32	807	0.961859356376639	0.807	0.877650897226754	0.6485
sample_04022019_2_100_SE	178	29	822	0.965922444183314	0.822	0.888168557536467	0.668872
sample_04022019_2_50_PE	237	211	763	0.783367556468172	0.763	0.773049645390071	0.568311
sample_04022019_2_50_SE	233	210	767	0.785056294779939	0.767	0.775923115832069	0.57739
sample_04022019_2_75_PE	290	54	710	0.929319371727749	0.71	0.804988662131519	0.552457
sample_04022019_2_75_SE	268	57	732	0.927756653992395	0.732	0.818334264952487	0.566372
sample_04022019_3_100_PE	164	30	836	0.965357967667437	0.836	0.896034297963559	0.678356
sample_04022019_3_100_SE	178	36	822	0.958041958041958	0.822	0.884822389666308	0.658503
sample_04022019_3_50_PE	234	219	766	0.777664974619289	0.766	0.771788413098237	0.574365
sample_04022019_3_50_SE	236	224	764	0.773279352226721	0.764	0.768611670020121	0.5736
sample_04022019_3_75_PE	285	49	715	0.93586387434555	0.715	0.810657596371882	0.558958
sample_04022019_3_75_SE	262	60	738	0.924812030075188	0.738	0.82091212458287	0.583449
sample_04022019_4_100_PE	182	29	818	0.965761511216057	0.818	0.885760693015701	0.659161
sample_04022019_4_100_SE	173	28	827	0.967251461988304	0.827	0.891644204851752	0.667708
sample_04022019_4_50_PE	227	199	773	0.795267489711934	0.773	0.783975659229209	0.587938
sample_04022019_4_50_SE	223	189	777	0.804347826086957	0.777	0.790437436419125	0.590043
sample_04022019_4_75_PE	288	45	712	0.940554821664465	0.712	0.810472396129767	0.551813
sample_04022019_4_75_SE	293	43	707	0.942666666666667	0.707	0.808	0.550431
